Python 3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)] on win32
Type "help", "copyright", "credits" or "license()" for more information.

= RESTART: C:\Users\diego\Desktop\endpointsV2.py
(4770, '08-de-marzo'),
(4771, '11-de-marzo'),
(4772, '13-de-marzo'),
(4773, '15-de-marzo'),
(4774, '18-de-marzo'),
(4775, '20-de-marzo'),
(4776, '22-de-marzo'),
(4777, '25-de-marzo'),
(4778, '27-de-marzo'),
(4779, '29-de-marzo'),
(4780, '01-de-abril'),
(4781, '03-de-abril'),
(4782, '05-de-abril'),
(4783, '08-de-abril'),
(4784, '10-de-abril'),
(4785, '12-de-abril'),
(4786, '15-de-abril'),
(4787, '17-de-abril'),
(4788, '19-de-abril'),
(4789, '22-de-abril'),
(4790, '24-de-abril'),
(4791, '26-de-abril'),
(4792, '29-de-abril'),
(4793, '01-de-mayo'),
(4794, '03-de-mayo'),
(4795, '06-de-mayo'),
(4796, '08-de-mayo'),
(4797, '10-de-mayo'),
(4798, '13-de-mayo'),
(4799, '15-de-mayo'),
(4800, '17-de-mayo'),
(4801, '20-de-mayo'),
(4802, '22-de-mayo'),
(4803, '24-de-mayo'),
(4804, '27-de-mayo'),
(4805, '29-de-mayo'),
(4806, '31-de-mayo'),
(4807, '03-de-junio'),
(4808, '05-de-junio'),
(4809, '07-de-junio'),
(4810, '10-de-junio'),
(4811, '12-de-junio'),
(4812, '14-de-junio'),
(4813, '17-de-junio'),
(4814, '19-de-junio'),
(4815, '21-de-junio'),
(4816, '24-de-junio'),
(4817, '26-de-junio'),
(4818, '28-de-junio'),
(4819, '01-de-julio'),
(4820, '03-de-julio'),
(4821, '05-de-julio'),
(4822, '08-de-julio'),
(4823, '10-de-julio'),
(4824, '12-de-julio'),
(4825, '15-de-julio'),
(4826, '17-de-julio'),
(4827, '19-de-julio'),
(4828, '22-de-julio'),
(4829, '24-de-julio'),
(4830, '26-de-julio'),
(4831, '29-de-julio'),
(4832, '31-de-julio'),
(4833, '02-de-agosto'),
(4834, '05-de-agosto'),
(4835, '07-de-agosto'),
(4836, '09-de-agosto'),
(4837, '12-de-agosto'),
(4838, '14-de-agosto'),
(4839, '16-de-agosto'),
(4840, '19-de-agosto'),
(4841, '21-de-agosto'),
(4842, '23-de-agosto'),
(4843, '26-de-agosto'),
(4844, '28-de-agosto'),
(4845, '30-de-agosto'),
(4846, '02-de-septiembre'),
(4847, '04-de-septiembre'),
(4848, '06-de-septiembre'),
(4849, '09-de-septiembre'),
(4850, '11-de-septiembre'),
(4851, '13-de-septiembre'),
(4852, '16-de-septiembre'),
(4853, '18-de-septiembre'),
(4854, '20-de-septiembre'),
(4855, '23-de-septiembre'),
(4856, '25-de-septiembre'),
(4857, '27-de-septiembre'),
(4858, '30-de-septiembre'),
(4859, '02-de-octubre'),
(4860, '04-de-octubre'),
(4861, '07-de-octubre'),
(4862, '09-de-octubre'),
(4863, '11-de-octubre'),
(4864, '14-de-octubre'),
(4865, '16-de-octubre'),
(4866, '18-de-octubre'),
(4867, '21-de-octubre'),
(4868, '23-de-octubre'),
(4869, '25-de-octubre'),
(4870, '28-de-octubre'),
(4871, '30-de-octubre'),
(4872, '01-de-noviembre'),
(4873, '04-de-noviembre'),
(4874, '06-de-noviembre'),
(4875, '08-de-noviembre'),
(4876, '11-de-noviembre'),
(4877, '13-de-noviembre'),
(4878, '15-de-noviembre'),
(4879, '18-de-noviembre'),
(4880, '20-de-noviembre'),
(4881, '22-de-noviembre'),
(4882, '25-de-noviembre'),
(4883, '27-de-noviembre'),
(4884, '29-de-noviembre'),
(4885, '02-de-diciembre'),
(4886, '04-de-diciembre'),
(4887, '06-de-diciembre'),
(4888, '09-de-diciembre'),
(4889, '11-de-diciembre'),
(4890, '13-de-diciembre'),
(4891, '16-de-diciembre'),
(4892, '18-de-diciembre'),
(4893, '20-de-diciembre'),
(4894, '23-de-diciembre'),
(4895, '25-de-diciembre'),
(4896, '27-de-diciembre'),
(4897, '30-de-diciembre'),
(4898, '01-de-enero'),
(4899, '03-de-enero'),
(4900, '06-de-enero'),
(4901, '08-de-enero'),
(4902, '10-de-enero'),
(4903, '13-de-enero'),
(4904, '15-de-enero'),
(4905, '17-de-enero'),
